Date,Mkt-RF,SMB,HML,RF
2020-01-01,0.003956604957053176,-0.0011862506582306846,0.0025072629496979515,2e-05
2020-01-02,-0.012179809274885947,-0.008551872413840079,0.01036947267828334,2e-05
2020-01-03,0.009305414349677486,-0.002999064452964997,0.006862291220001064,2e-05
2020-01-06,0.011586776596694567,0.00558774432392108,-0.009429925995730322,2e-05
2020-01-07,-0.023112422263846036,-0.008110005785306705,0.007155379690348919,2e-05
2020-01-08,-0.015326154082347816,-0.001037333069235671,0.004732002085073236,2e-05
2020-01-09,0.0018340848380074245,-0.004818523572625064,-0.007676499727643789,2e-05
2020-01-10,-0.0034949111081229865,0.000768102576388668,-0.0014660080835524876,2e-05
2020-01-13,9.838610994853444e-05,-0.002231799086400909,0.005527612057479048,2e-05
2020-01-14,-0.009936527130882961,0.008964361989848013,0.002802167554673927,2e-05
2020-01-15,0.010852775698353943,0.0031394989251415225,-0.006495475261939929,2e-05
2020-01-16,0.00963350322514738,-0.007770818994663268,0.0031037107789809713,2e-05
2020-01-17,0.0010923683707345926,0.004127368069682192,-0.01063750298040294,2e-05
2020-01-20,0.013826894483616394,-0.004547911137572378,-0.001064110878786057,2e-05
2020-01-21,0.0059101121070245476,-0.0033619782282652017,0.005739783847000243,2e-05
2020-01-22,-0.01001150955459886,0.0019829141206427307,0.00014197107785659917,2e-05
2020-01-23,0.0047250094089899865,-0.0028504845183808087,-0.0024446877498097296,2e-05
2020-01-24,-0.011206591209947988,0.005457134897937732,0.004496731268861746,2e-05
2020-01-27,0.01084140361568727,-0.0045470603690803725,0.004923759075432907,2e-05
2020-01-28,-0.00029911093183503475,-0.0036136793155481794,0.006600198464334751,2e-05
2020-01-29,-0.0019183483625431269,-0.0038382253612886537,0.004421712142231937,2e-05
2020-01-30,-0.007871154532847298,-0.0032938324901302337,0.005456873969685733,2e-05
2020-01-31,0.014970496064088363,0.006695149333286877,0.003714542787187673,2e-05
2020-02-03,-0.001554353784825626,0.0038727777616618187,0.0013776432455823596,2e-05
2020-02-04,-0.004839933865957287,0.010359663724072427,0.0004975449988190705,2e-05
2020-02-05,-0.003925602605858755,0.013705865223395527,-0.0011362985954870102,2e-05
2020-02-06,0.006687710226640184,-0.006084302191594038,-0.006011841465298629,2e-05
2020-02-07,0.00468532877236894,0.0005225147639637334,-0.004726557544099044,2e-05
2020-02-10,0.005252791339151861,-0.006957201899860597,-0.0013600724096760484,2e-05
2020-02-11,0.0054698520360945925,-0.004565635566489603,0.0012572607980121464,2e-05
2020-02-12,0.025999771210445537,-0.003680495061534017,0.007254062990021316,2e-05
2020-02-13,-0.004576980196615387,-0.006242929244829646,-0.00015898613937756264,2e-05
2020-02-14,-0.0058469127488584485,-0.006211323637390482,0.00506738145438832,2e-05
2020-02-17,-0.009465272738974533,-0.0007657062711215291,0.005446578282160604,2e-05
2020-02-18,0.007691753070905948,-0.007200310510318442,-0.0011072339884439552,2e-05
2020-02-19,0.013847667512650699,0.005152761754825797,0.0030234510568509193,2e-05
2020-02-20,-0.001067369491858501,-0.005406521224505085,-0.0011676402086243077,2e-05
2020-02-21,-0.009781877723550337,0.016957413820578353,0.006660679470392384,2e-05
2020-02-24,-0.009593774588294876,-0.002608306705786371,0.003229216691329661,2e-05
2020-02-25,0.008107113453896414,0.0005321058515023134,-0.005902418773441777,2e-05
2020-02-26,0.009219050054441307,-0.007672047106796211,0.0008576232607692337,2e-05
2020-02-27,0.00681785121966234,0.010336550548765836,0.008290560809119399,2e-05
2020-02-28,-0.007686116487464333,0.006817004084817497,-0.0008561551727335058,2e-05
2020-03-02,0.003085935876800637,0.0018814952244166753,0.0022885751504753407,2e-05
2020-03-03,0.0017002297096887387,-0.007980815292677395,0.0027793941886957263,2e-05
2020-03-04,0.0029242631607481555,0.0013640012663477218,-0.005133114495823003,2e-05
2020-03-05,0.010757145335378278,-0.0066285862761035295,0.00260353974606757,2e-05
2020-03-06,0.0029831465852961873,0.008874131580840165,-0.006919175760173129,2e-05
2020-03-09,0.008446962756862738,0.004955168391119037,-0.0030781205320069803,2e-05
2020-03-10,0.0011109488338666975,0.0006726342309264167,0.00542861483747096,2e-05
2020-03-11,0.00376943278427981,-0.014518253979483935,0.00183378145154179,2e-05
2020-03-12,0.007875458710062485,-0.0058004958719541835,-0.001472389038732635,2e-05
2020-03-13,-0.017185869838267996,0.004226566789599235,0.0022823051062259374,2e-05
2020-03-16,-0.0035360545962876164,0.007377302150338935,-0.00025046123877565723,2e-05
2020-03-17,-0.005344471851513546,0.00675501886895279,0.00011289251175916626,2e-05
2020-03-18,-0.007366534178920104,-0.009452078013448733,0.0033340926336006883,2e-05
2020-03-19,-0.003001707014720205,0.0019093138408774245,-0.0035868387032956593,2e-05
2020-03-20,0.01823929573481275,0.006193091298897577,0.0002516820277734535,2e-05
2020-03-23,-0.010089973388318919,-0.009850013393493472,-0.0015113409730332645,2e-05
2020-03-24,0.01191934025509777,5.2572907760581924e-05,-0.007878016873001279,2e-05
2020-03-25,-0.019894437259389657,0.0017430543898507376,-0.004552278781246499,2e-05
2020-03-26,-0.003718620359829298,-0.0017045875090804094,0.007891032235319161,2e-05
2020-03-27,0.002253036781260067,-0.01101297113240721,0.0019736165729261706,2e-05
2020-03-30,0.007334667976311338,-0.0018541886604423721,-0.006567941507006946,2e-05
2020-03-31,0.008834718957514259,-0.0018638325815301439,-0.007651771879242053,2e-05
2020-04-01,0.009820166822399104,-0.0007884344272865251,-0.0005108195005529197,2e-05
2020-04-02,-0.003884700866981251,-0.0032808285525504177,0.007855932665882411,2e-05
2020-04-03,-0.005248221511974806,-0.002558072919448804,-0.0008837906740217632,2e-05
2020-04-06,0.010595710575085847,-0.00013823769408186738,0.00658499776702008,2e-05
2020-04-07,-0.0019956518985793786,0.0027547276298182668,0.001809653854093287,2e-05
2020-04-08,-0.015008235880055064,-0.0017265605771400031,0.0024062522892294683,2e-05
2020-04-09,-0.013299446568041768,-0.0023578935702080117,-0.006628602546522848,2e-05
2020-04-10,-0.010733427432019335,0.0006541242295267485,0.004737614608748788,2e-05
2020-04-13,0.006265928928645168,-0.01142549555537109,-0.0016246601863680362,2e-05
2020-04-14,0.002009108832846783,0.0029622107633587485,0.004365462268054541,2e-05
2020-04-15,0.008585824248813219,9.662141726224716e-05,-0.004020849909930566,2e-05
2020-04-16,-0.004827031756038411,0.000338161159585371,0.0009352467375495625,2e-05
2020-04-17,0.0022024762929205707,0.005864405845566785,0.0018100147696881574,2e-05
2020-04-20,0.007807084727608041,-0.01161689318028949,-0.0007201665828793326,2e-05
2020-04-21,-0.003412158476642861,-0.011743003219153784,0.0020727259654307836,2e-05
2020-04-22,0.005781302850688937,0.0017428230719411172,-0.001281985375962544,2e-05
2020-04-23,-0.007643111292799815,5.7298869228905365e-05,-0.003195298765206397,2e-05
2020-04-24,-0.004056646158780861,0.0011210616591515934,0.008077416913969822,2e-05
2020-04-27,-0.0042808547279799495,-0.0026727624510346736,0.0052947643318072115,2e-05
2020-04-28,-0.014050075747068477,0.004086122045439587,-0.003754323725240884,2e-05
2020-04-29,0.006143669769426981,0.00569583305794672,0.0028922215279730645,2e-05
2020-04-30,-0.005332828082432687,0.003003893763709162,-0.003663394273505765,2e-05
2020-05-01,0.0004499294247322491,-0.0014649707504274987,-0.005873423218311621,2e-05
2020-05-04,0.006068959906870908,-0.012546136325686418,0.005219047206994881,2e-05
2020-05-05,0.005658374112359329,0.004715417248222769,-0.008470498128237029,2e-05
2020-05-06,0.008284621307673434,0.007430371997305557,0.004684279567882706,2e-05
2020-05-07,-0.0008818258141130835,0.00396735047190388,-0.0012136115628652926,2e-05
2020-05-08,-0.004779579744529845,-0.005177854564205039,-0.0010077330154026434,2e-05
2020-05-11,-0.0006566185308767886,0.004142766362006547,0.002098756098116449,2e-05
2020-05-12,-0.019948013207496357,0.005263178247768673,0.0029559940599712623,2e-05
2020-05-13,-0.017065349669077044,0.009452897486794514,-0.004081715884144542,2e-05
2020-05-14,-0.01557239534825283,-0.005156659545367746,0.0036386280437503173,2e-05
2020-05-15,-0.011666961931217782,-0.001258727507264831,0.000616852690126117,2e-05
2020-05-18,0.0050972907206812395,0.004583632306860731,-0.006230273964340191,2e-05
2020-05-19,-0.01056574866432073,0.0004444604286289467,-0.0007993724178986959,2e-05
2020-05-20,-0.0042379506484726765,-0.006603965612307649,0.006956395077794629,2e-05
2020-05-21,0.015890739573432785,0.002587697710160218,0.008432973991228483,2e-05
2020-05-22,-0.003975167652737112,0.0035719698028909997,0.0036367422880433866,2e-05
2020-05-25,0.009150186821605039,0.000627777377986012,-0.005901717440841851,2e-05
2020-05-26,-0.010903412160118524,0.001417509563079665,0.0025030345122794414,2e-05
2020-05-27,-0.0021652506944115604,-0.001452235410114381,0.004304304519295964,2e-05
2020-05-28,-0.011100264658926976,0.008969673614296356,0.0036785399165936107,2e-05
2020-05-29,-0.0037683969108067497,-0.005304153102276059,0.003974771443439591,2e-05
2020-06-01,0.010383697649488747,-0.0034239245765826736,0.0018663153962376541,2e-05
2020-06-02,-0.020427845078308183,0.00016591308116515374,-0.00031206169415271847,2e-05
2020-06-03,0.005513083722550288,0.005373724166205356,-0.002991837479520092,2e-05
2020-06-04,0.0031528272279873347,-0.008884239020567222,-0.009439677592507483,2e-05
2020-06-05,-0.006829799468361533,-0.0077617804985926344,0.001748208833566754,2e-05
2020-06-08,-0.017052694252661454,-0.012126371046408308,0.0009802642182609427,2e-05
2020-06-09,0.0011655540925664342,0.00029617135151962474,0.002837879214124081,2e-05
2020-06-10,-0.006053912508765629,-0.006609834903239263,-0.006637718466464471,2e-05
2020-06-11,0.0030921145362564476,-0.0022073006601075005,0.0032750834465753017,2e-05
2020-06-12,0.0005622257462813145,0.004068269139350249,0.010322725473103886,2e-05
2020-06-15,0.019521346695850986,-0.00374925632469708,0.00044225065388955675,2e-05
2020-06-16,-0.0025722675296762916,0.0014876921364601874,-0.0002583265960327041,2e-05
2020-06-17,-0.01198196991146238,-0.001696027446510332,0.001595011780428505,2e-05
2020-06-18,0.002451307619475794,0.004132685890578621,0.01021168512355169,2e-05
